row,error,column,value
1111,required_missing,sku,(empty)
7777,required_missing,sku,(empty)
12345,invalid_decimal,price,not-a-number
20000,invalid_date,createdat,invalid-date
25001,invalid_date,createdat,invalid-date
33333,invalid_decimal,price,not-a-number
42000,invalid_decimal,price,not-a-number
50000,invalid_date,createdat,invalid-date
56789,invalid_date,createdat,invalid-date
65000,invalid_date,createdat,invalid-date
70001,invalid_date,createdat,invalid-date
77777,invalid_date,createdat,invalid-date
85000,required_missing,sku,(empty)
90009,invalid_decimal,price,not-a-number
99999,invalid_decimal,price,not-a-number
